"game_id","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","Total_SDP","Off_SDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202211060atl","SpilIs00","RB","Isaiah Spiller","LAC",0,0,0,0,0,0,0,0,0,7,29,0,7,0,0,0,0,0,0,0,7,7,0,7,"LAC","ATL",0,0,0,0,0,0,2.9,2.9,2.9,2.9,2.9,2.9,0,0,0,0,13,16,0,0,0,0,13,19,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","HerbJu00","QB","Justin Herbert","LAC",30,43,245,1,1,0,0,25,82,1,3,0,3,0,0,0,0,0,0,1,0,44,44,0,"LAC","ATL",0,0,0,0,0,0,13.1,13.1,12.1,12.1,13.1,13.1,241,6,3,0,3,0,0,0,0,0,69,100,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","EkelAu00","RB","Austin Ekeler","LAC",0,0,0,0,0,0,0,0,0,14,47,1,9,8,7,24,1,13,1,0,14,14,0,14,"LAC","ATL",0,0,0,0,0,0,25.1,25.1,20.6,20.6,20.6,20.6,0,0,0,0,38,9,0,-10.4,28,1,47,68,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","EverGe00","TE","Gerald Everett","LAC",0,0,0,0,0,0,0,0,0,1,0,0,0,8,5,36,0,16,0,0,1,1,0,1,"LAC","ATL",0,0,0,0,0,0,8.6,8.6,6.1,6.1,6.1,6.1,0,0,0,0,0,0,0,40,24,1,47,68,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","BandMi00","WR","Michael Bandy","LAC",0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,26,0,11,0,0,0,0,0,0,"LAC","ATL",0,0,0,0,0,0,7.6,7.6,5.1,5.1,5.1,5.1,0,0,0,0,0,0,0,46.4,15,0,55,80,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","RodgRi00","TE","Richard Rodgers","LAC",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"LAC","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,15,22,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","MariMa01","QB","Marcus Mariota","ATL",12,23,129,0,0,2,15,24,68.9,5,24,0,6,0,0,0,0,0,0,2,3,30,27,3,"ATL","LAC",0,0,0,0,0,0,7.56,7.56,7.56,7.56,7.56,7.56,342,9,7,1,24,0,0,0,0,0,61,100,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","AllgTy00","RB","Tyler Allgeier","ATL",0,0,0,0,0,0,0,0,0,10,99,0,44,1,1,24,0,24,0,0,10,10,0,10,"ATL","LAC",0,0,0,0,0,0,13.3,13.3,12.8,12.8,12.8,12.8,0,0,0,0,62,37,0,5,19,0,23,38,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","PattCo00","RB","Cordarrelle Patterson","ATL",0,0,0,0,0,0,0,0,0,13,44,2,7,1,1,9,0,9,0,0,13,13,0,13,"ATL","LAC",0,0,0,0,0,0,18.3,18.3,17.8,17.8,17.8,17.8,0,0,0,0,39,5,0,2,7,0,24,39,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","HuntCa02","RB","Caleb Huntley","ATL",0,0,0,0,0,0,0,0,0,7,34,0,9,0,0,0,0,0,0,0,7,7,0,7,"ATL","LAC",0,0,0,0,0,0,3.4,3.4,3.4,3.4,3.4,3.4,0,0,0,0,28,6,0,0,0,0,13,21,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","PittKy00","TE","Kyle Pitts","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,27,0,18,0,0,0,0,0,0,"ATL","LAC",0,0,0,0,0,0,4.7,4.7,3.7,3.7,3.7,3.7,0,0,0,0,0,0,0,207.9,10,1,42,69,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","LondDr00","WR","Drake London","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,23,0,12,1,0,0,0,0,0,"ATL","LAC",0,0,0,0,0,0,4.3,4.3,1.8,1.8,1.8,1.8,0,0,0,0,0,0,0,60.2,3,0,46,75,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","HodgKh00","WR","KhaDarel Hodge","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,19,0,19,0,0,0,0,0,0,"ATL","LAC",0,0,0,0,0,0,2.9,2.9,2.4,2.4,2.4,2.4,0,0,0,0,0,0,0,30,1,0,16,26,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
"202211060atl","ZaccOl01","WR","Olamide Zaccheaus","ATL",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,19,0,15,0,0,0,0,0,0,"ATL","LAC",0,0,0,0,0,0,3.9,3.9,2.9,2.9,2.9,2.9,0,0,0,0,0,0,0,17,2,0,43,70,"LAC","ATL",20,17,"False","retractable roof (open)","fieldturf",72,45,0,NA,"",NA,2022-11-06
