"game_id","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","Total_SDP","Off_SDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202210200crd","DaltAn00","QB","Andy Dalton","NOR",30,47,361,4,3,0,0,64,89.1,4,21,0,14,0,0,0,0,0,0,3,1,51,50,1,"NOR","ARI",0,0,0,1,0,0,32.54,32.54,26.54,26.54,31.54,31.54,386,5,9,3,21,0,0,0,0,0,71,99,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","HillTa00","TE","Taysom Hill","NOR",2,2,48,0,0,0,0,41,118.7,3,9,0,3,1,1,3,1,3,0,0,3,5,2,3,"NOR","ARI",0,0,0,0,0,0,10.12,10.12,9.62,9.62,9.62,9.62,11,0,1,0,6,3,0,-3,6,0,18,25,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","KamaAl00","RB","Alvin Kamara","NOR",0,0,0,0,0,0,0,0,0,11,49,0,17,9,7,56,0,12,0,0,11,11,0,11,"NOR","ARI",0,0,0,0,0,0,17.5,17.5,14,14,14,14,0,0,0,0,22,27,0,16.2,48,0,52,72,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","IngrMa01","RB","Mark Ingram","NOR",0,0,0,0,0,0,0,0,0,4,6,0,5,3,3,16,0,11,0,0,4,4,0,4,"NOR","ARI",0,0,0,0,0,0,5.2,5.2,3.7,3.7,3.7,3.7,0,0,0,0,3,3,0,3.9,12,0,20,28,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","OlavCh00","WR","Chris Olave","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,106,0,41,0,0,0,0,0,0,"NOR","ARI",0,0,0,0,0,1,20.6,20.6,14.1,14.1,16.1,16.1,0,0,0,0,0,0,0,168,33,0,55,76,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","WhitKe00","WR","Kevin White","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,64,0,64,0,0,0,0,0,0,"NOR","ARI",0,0,0,0,0,0,7.4,7.4,6.9,6.9,6.9,6.9,0,0,0,0,0,0,0,2,62,0,21,29,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","SmitTr03","WR","Tre'Quan Smith","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,59,0,20,0,0,0,0,0,0,"NOR","ARI",0,0,0,0,0,0,10.9,10.9,8.4,8.4,8.4,8.4,0,0,0,0,0,0,0,46.8,19,1,44,61,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","ShahRa00","WR","Rashid Shaheed","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,53,1,53,0,0,0,0,0,0,"NOR","ARI",0,0,0,0,0,0,12.3,12.3,11.8,11.8,11.8,11.8,0,0,0,0,0,0,0,44,9,0,10,14,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","JohnJu02","TE","Juwan Johnson","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,32,2,17,0,0,0,0,0,0,"NOR","ARI",0,0,0,0,0,0,20.2,20.2,17.7,17.7,17.7,17.7,0,0,0,0,0,0,0,7,25,0,53,74,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","CallMa01","WR","Marquez Callaway","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,20,0,12,0,0,0,0,0,0,"NOR","ARI",0,0,0,0,0,0,4,4,3,3,3,3,0,0,0,0,0,0,0,94.2,10,1,52,72,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","MurrKy00","QB","Kyler Murray","ARI",20,29,204,1,0,2,15,31,100.4,7,30,0,17,0,0,0,0,0,0,2,5,38,33,5,"ARI","NOR",1,0,0,0,0,0,17.16,17.16,17.16,17.16,17.16,17.16,216,2,3,1,27,3,0,0,0,0,66,100,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","BenjEn00","RB","Eno Benjamin","ARI",0,0,0,0,0,0,0,0,0,12,92,1,45,5,4,21,0,16,0,0,12,12,0,12,"ARI","NOR",1,0,0,0,0,0,23.3,23.3,21.3,21.3,21.3,21.3,0,0,0,0,22,70,1,-11,35,1,48,73,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","IngrKe01","RB","Keaontay Ingram","ARI",0,0,0,0,0,0,0,0,0,9,14,1,11,2,2,23,0,24,0,0,9,9,0,9,"ARI","NOR",0,0,0,0,0,0,11.7,11.7,10.7,10.7,10.7,10.7,0,0,0,0,-2,16,0,-4,27,0,20,30,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","DortGr01","WR","Greg Dortch","ARI",0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,5,1,5,0,0,1,1,0,1,"ARI","NOR",0,0,0,0,0,0,7.6,7.6,7.1,7.1,7.1,7.1,0,0,0,0,0,1,0,4,1,0,35,53,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","HopkDe00","WR","DeAndre Hopkins","ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,103,0,18,0,0,0,0,0,0,"ARI","NOR",0,0,0,0,0,1,23.3,23.3,15.3,15.3,17.3,17.3,0,0,0,0,0,0,0,131.6,16,2,61,92,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","MoorRo02","WR","Rondale Moore","ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,31,0,31,0,0,0,0,0,0,"ARI","NOR",0,0,0,0,0,0,4.1,4.1,3.6,3.6,3.6,3.6,0,0,0,0,0,0,0,26,15,0,59,89,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","ErtzZa00","TE","Zach Ertz","ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,21,0,15,0,0,0,0,0,0,"ARI","NOR",1,0,0,0,0,0,6.1,6.1,5.1,5.1,5.1,5.1,0,0,0,0,0,0,0,28,0,0,53,80,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","AndeRo04","WR","Robbie Anderson","ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"ARI","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,12,18,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","HoltJ.01","TE","J.P. Holtz","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NOR","ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","WashDw00","RB","Dwayne Washington","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NOR","ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","McBrTr01","TE","Trey McBride","ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ARI","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,52,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","VannNi00","TE","Nick Vannett","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NOR","ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","ClemCo00","RB","Corey Clement","ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ARI","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210200crd","AndeSt01","TE","Stephen Anderson","ARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ARI","NOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,"NOR","ARI",34,42,"False","retractable roof (open)","grass ",72,45,0,-2.5,"ARI",44,2022-10-20
"202210230car","WhitRa01","RB","Rachaad White","TAM",0,0,0,0,0,0,0,0,0,6,24,0,11,2,1,8,0,8,0,0,6,6,0,6,"TAM","CAR",0,0,0,0,0,0,4.2,4.2,3.7,3.7,3.7,3.7,0,0,0,0,10,14,0,5,12,0,29,43,"TAM","CAR",3,21,"False","outdoors","grass ",72,45,0,-13,"TAM",39.5,2022-10-23
